league_id_x,draft_id,draft_order,scoring_type,season,type,status,rounds,slot_to_id,slots_qb,slots_rb,slots_wr,slots_te,slots_flex,slots_superflex,slots_bn,league_id_y,draft_slot,pick_no,is_keeper,player_first,player_last,player_id,position,roster_id,picked_by
1177728145343340544,1177728147994783744,"{'1032524867054338048': 3, '1078160676847321088': 9, '1126987852568489984': 2, '1150914940585304064': 5, '1154693316647276544': 4, '846553849618616320': 8, '917870103948189696': 10, '981243996867518464': 6}",dynasty_2qb,2024,snake,complete,28,"{'1': 4, '10': 10, '2': 6, '3': 9, '4': 8, '5': 7, '6': 3, '7': 5, '8': 2, '9': 1}",1,2,2,1,4,1,10,1177728145343340544,1,1,,Patrick,Mahomes,4046,QB,1,
1177728145343340544,1177728147994783744,"{'1032524867054338048': 3, '1078160676847321088': 9, '1126987852568489984': 2, '1150914940585304064': 5, '1154693316647276544': 4, '846553849618616320': 8, '917870103948189696': 10, '981243996867518464': 6}",dynasty_2qb,2024,snake,complete,28,"{'1': 4, '10': 10, '2': 6, '3': 9, '4': 8, '5': 7, '6': 3, '7': 5, '8': 2, '9': 1}",1,2,2,1,4,1,10,1177728145343340544,2,2,,C.J.,Stroud,9758,QB,2,1126987852568489984
1177728145343340544,1177728147994783744,"{'1032524867054338048': 3, '1078160676847321088': 9, '1126987852568489984': 2, '1150914940585304064': 5, '1154693316647276544': 4, '846553849618616320': 8, '917870103948189696': 10, '981243996867518464': 6}",dynasty_2qb,2024,snake,complete,28,"{'1': 4, '10': 10, '2': 6, '3': 9, '4': 8, '5': 7, '6': 3, '7': 5, '8': 2, '9': 1}",1,2,2,1,4,1,10,1177728145343340544,3,3,,Josh,Allen,4984,QB,3,1032524867054338048
1177728145343340544,1177728147994783744,"{'1032524867054338048': 3, '1078160676847321088': 9, '1126987852568489984': 2, '1150914940585304064': 5, '1154693316647276544': 4, '846553849618616320': 8, '917870103948189696': 10, '981243996867518464': 6}",dynasty_2qb,2024,snake,complete,28,"{'1': 4, '10': 10, '2': 6, '3': 9, '4': 8, '5': 7, '6': 3, '7': 5, '8': 2, '9': 1}",1,2,2,1,4,1,10,1177728145343340544,4,4,,Ja'Marr,Chase,7564,WR,4,1154693316647276544
1177728145343340544,1177728147994783744,"{'1032524867054338048': 3, '1078160676847321088': 9, '1126987852568489984': 2, '1150914940585304064': 5, '1154693316647276544': 4, '846553849618616320': 8, '917870103948189696': 10, '981243996867518464': 6}",dynasty_2qb,2024,snake,complete,28,"{'1': 4, '10': 10, '2': 6, '3': 9, '4': 8, '5': 7, '6': 3, '7': 5, '8': 2, '9': 1}",1,2,2,1,4,1,10,1177728145343340544,5,5,,Bijan,Robinson,9509,RB,5,1150914940585304064
1177728145343340544,1177728147994783744,"{'1032524867054338048': 3, '1078160676847321088': 9, '1126987852568489984': 2, '1150914940585304064': 5, '1154693316647276544': 4, '846553849618616320': 8, '917870103948189696': 10, '981243996867518464': 6}",dynasty_2qb,2024,snake,complete,28,"{'1': 4, '10': 10, '2': 6, '3': 9, '4': 8, '5': 7, '6': 3, '7': 5, '8': 2, '9': 1}",1,2,2,1,4,1,10,1177728145343340544,6,6,,Justin,Jefferson,6794,WR,6,981243996867518464
1177728145343340544,1177728147994783744,"{'1032524867054338048': 3, '1078160676847321088': 9, '1126987852568489984': 2, '1150914940585304064': 5, '1154693316647276544': 4, '846553849618616320': 8, '917870103948189696': 10, '981243996867518464': 6}",dynasty_2qb,2024,snake,complete,28,"{'1': 4, '10': 10, '2': 6, '3': 9, '4': 8, '5': 7, '6': 3, '7': 5, '8': 2, '9': 1}",1,2,2,1,4,1,10,1177728145343340544,7,7,,Lamar,Jackson,4881,QB,7,1090815296559980544
1177728145343340544,1177728147994783744,"{'1032524867054338048': 3, '1078160676847321088': 9, '1126987852568489984': 2, '1150914940585304064': 5, '1154693316647276544': 4, '846553849618616320': 8, '917870103948189696': 10, '981243996867518464': 6}",dynasty_2qb,2024,snake,complete,28,"{'1': 4, '10': 10, '2': 6, '3': 9, '4': 8, '5': 7, '6': 3, '7': 5, '8': 2, '9': 1}",1,2,2,1,4,1,10,1177728145343340544,8,8,,Saquon,Barkley,4866,RB,8,846553849618616320
1177728145343340544,1177728147994783744,"{'1032524867054338048': 3, '1078160676847321088': 9, '1126987852568489984': 2, '1150914940585304064': 5, '1154693316647276544': 4, '846553849618616320': 8, '917870103948189696': 10, '981243996867518464': 6}",dynasty_2qb,2024,snake,complete,28,"{'1': 4, '10': 10, '2': 6, '3': 9, '4': 8, '5': 7, '6': 3, '7': 5, '8': 2, '9': 1}",1,2,2,1,4,1,10,1177728145343340544,9,9,,Amon-Ra,St. Brown,7547,WR,9,1078160676847321088
1177728145343340544,1177728147994783744,"{'1032524867054338048': 3, '1078160676847321088': 9, '1126987852568489984': 2, '1150914940585304064': 5, '1154693316647276544': 4, '846553849618616320': 8, '917870103948189696': 10, '981243996867518464': 6}",dynasty_2qb,2024,snake,complete,28,"{'1': 4, '10': 10, '2': 6, '3': 9, '4': 8, '5': 7, '6': 3, '7': 5, '8': 2, '9': 1}",1,2,2,1,4,1,10,1177728145343340544,10,10,,Jayden,Daniels,11566,QB,10,917870103948189696
