points,players,roster_id,custom_points,matchup_id,starters,starters_points,players_points,league_id,week
249.3,"['10226', '10937', '11563', '11583', '11584', '11618', '4137', '4943', '4984', '5045', '5859', '5927', '5947', '6813', '6819', '8110', '8121', '8134', '8151', '8210', '9226', '9500', 'DAL']",1,,5.0,"['4984', '6813', '9226', '5859', '6819', '8110', '8151', '4137', '4943', '10937', 'DAL']","[35.68, 18.8, 30.0, 27.9, 7.1, 4.5, 36.9, 27.3, 17.12, 26.0, 18.0]","{'10226': 5.6, '10937': 26.0, '11563': 18.52, '11583': 0.0, '11584': 14.1, '11618': 10.2, '4137': 27.3, '4943': 17.12, '4984': 35.68, '5045': 7.8, '5859': 27.9, '5927': 3.7, '5947': 9.9, '6813': 18.8, '6819': 7.1, '8110': 4.5, '8121': 9.0, '8134': 13.2, '8151': 36.9, '8210': 9.5, '9226': 30.0, '9500': 0.0, 'DAL': 18.0}",1134603542842511360,1
173.46,"['11637', '2197', '3451', '4037', '4082', '4950', '4988', '5849', '5870', '5970', '6130', '6786', '7021', '7523', '7553', '7594', '8131', '8138', '8205', '9221', '9501', 'HOU']",2,,1.0,"['5849', '9221', '8205', '6786', '4950', '7553', '8138', '4037', '7523', '3451', 'HOU']","[16.68, 22.9, 23.3, 15.1, 4.0, 11.6, 24.8, 22.3, 11.78, 17.0, 4.0]","{'11637': 9.1, '2197': 15.0, '3451': 17.0, '4037': 22.3, '4082': 3.5, '4950': 4.0, '4988': 0.0, '5849': 16.68, '5870': 9.94, '5970': 11.6, '6130': 14.2, '6786': 15.1, '7021': 8.2, '7523': 11.78, '7553': 11.6, '7594': 4.4, '8131': 31.1, '8138': 24.8, '8205': 23.3, '9221': 22.9, '9501': 3.2, 'HOU': 4.0}",1134603542842511360,1
140.06,"['10859', '11566', '11575', '1166', '2749', '3164', '4017', '4039', '5119', '5967', '6790', '6826', '7090', '7547', '7608', '8112', '8146', '8148', '9486', '9488', 'ATL']",3,,3.0,"['11566', '6790', '2749', '7547', '8146', '10859', '8112', '4039', '1166', '5119', 'ATL']","[36.16, 10.0, 6.9, 4.3, 12.0, 8.5, 3.5, 38.0, 8.7, 9.0, 3.0]","{'10859': 8.5, '11566': 36.16, '11575': 5.2, '1166': 8.7, '2749': 6.9, '3164': 17.9, '4017': 15.16, '4039': 38.0, '5119': 9.0, '5967': 26.4, '6790': 10.0, '6826': 1.4, '7090': 2.5, '7547': 4.3, '7608': 1.4, '8112': 3.5, '8146': 12.0, '8148': 29.9, '9486': 0.0, '9488': 3.9, 'ATL': 3.0}",1134603542842511360,1
150.96,"['11533', '11564', '11570', '11582', '11596', '11604', '11624', '11625', '11630', '11631', '11834', '3198', '4227', '5012', '6804', '8130', '8676', '9228', '9502', '9509', '9511', '9758', '9997', '9999', 'DET']",4,,2.0,"['9758', '9509', '3198', '9997', '9502', '8130', '5012', '11624', '6804', '4227', 'DET']","[20.66, 27.1, 17.1, 12.1, 9.9, 8.0, 3.4, 21.3, 17.4, 9.0, 5.0]","{'11533': 21.0, '11564': 0.0, '11570': 0.0, '11582': 1.3, '11596': 0.0, '11604': 11.8, '11624': 21.3, '11625': 1.2, '11630': 0.0, '11631': 14.7, '11834': 11.9, '3198': 17.1, '4227': 9.0, '5012': 3.4, '6804': 17.4, '8130': 8.0, '8676': 16.3, '9228': 13.64, '9502': 9.9, '9509': 27.1, '9511': 0.0, '9758': 20.66, '9997': 12.1, '9999': 10.68, 'DET': 5.0}",1134603542842511360,1
96.48,"['11560', '11581', '11628', '11635', '11638', '1234', '2216', '2309', '3214', '3294', '4034', '4663', '4666', '5248', '5846', '5848', '5892', '8111', '8154', '9481', 'PIT']",5,,1.0,"['11560', '4034', '5892', '11628', '2216', '9481', '5846', '2309', '3294', '4666', 'PIT']","[9.72, 0.0, 24.8, 1.4, 23.1, 0.0, 5.9, 3.6, 11.96, 4.0, 12.0]","{'11560': 9.72, '11581': 0.0, '11628': 1.4, '11635': 14.9, '11638': 0.0, '1234': 0.0, '2216': 23.1, '2309': 3.6, '3214': 3.8, '3294': 11.96, '4034': 0.0, '4663': 11.2, '4666': 4.0, '5248': 9.3, '5846': 5.9, '5848': 0.0, '5892': 24.8, '8111': 1.5, '8154': 23.9, '9481': 0.0, 'PIT': 12.0}",1134603542842511360,1
163.94,"['11586', '11589', '11626', '11647', '1264', '1466', '3163', '4068', '4217', '4892', '6794', '6803', '6845', '7528', '7564', '8136', '96', '9754', '9757', 'PHI', 'SF']",6,,3.0,"['3163', '8136', '7528', '6794', '7564', '1466', '6803', '6845', '4892', '1264', 'SF']","[12.88, 26.1, 21.9, 15.9, 12.2, 6.4, 4.8, 18.6, 31.16, 7.0, 7.0]","{'11586': 0.0, '11589': 4.3, '11626': 7.5, '11647': 0.0, '1264': 7.0, '1466': 6.4, '3163': 12.88, '4068': 0.0, '4217': 8.0, '4892': 31.16, '6794': 15.9, '6803': 4.8, '6845': 18.6, '7528': 21.9, '7564': 12.2, '8136': 26.1, '96': 10.08, '9754': 6.8, '9757': 0.0, 'PHI': 4.0, 'SF': 7.0}",1134603542842511360,1
193.38,"['10236', '11439', '11559', '11620', '11643', '1426', '3321', '4018', '4199', '4983', '5022', '6011', '6768', '7543', '7591', '7839', '8137', '8143', '8167', '9229', 'NYJ']",7,,5.0,"['9229', '7543', '4018', '3321', '4983', '10236', '4199', '11620', '8137', '7839', 'NYJ']","[30.08, 17.9, 49.8, 31.0, 10.5, 2.1, 27.9, 2.1, 14.0, 6.0, 2.0]","{'10236': 2.1, '11439': 10.8, '11559': 0.0, '11620': 2.1, '11643': 0.0, '1426': 1.8, '3321': 31.0, '4018': 49.8, '4199': 27.9, '4983': 10.5, '5022': 7.1, '6011': 16.28, '6768': 22.12, '7543': 17.9, '7591': 18.94, '7839': 6.0, '8137': 14.0, '8143': 24.9, '8167': 10.3, '9229': 30.08, 'NYJ': 2.0}",1134603542842511360,1
167.36,"['10229', '1689', '2374', '2449', '4035', '4066', '4149', '421', '4881', '5844', '6783', '6801', '6943', '7042', '8139', '8144', '8155', '8183', '8230', '8408', '9756', 'CLE']",8,,4.0,"['4881', '8155', '4035', '8144', '2449', '4066', '9756', '8139', '8183', '7042', 'CLE']","[41.12, 26.3, 31.5, 3.1, 22.4, 1.5, 6.5, 11.1, 10.84, 10.0, 3.0]","{'10229': 22.3, '1689': 7.9, '2374': 13.7, '2449': 22.4, '4035': 31.5, '4066': 1.5, '4149': 17.6, '421': 21.68, '4881': 41.12, '5844': 0.0, '6783': 11.5, '6801': 0.0, '6943': 9.2, '7042': 10.0, '8139': 11.1, '8144': 3.1, '8155': 26.3, '8183': 10.84, '8230': 11.2, '8408': 44.2, '9756': 6.5, 'CLE': 3.0}",1134603542842511360,1
204.58,"['11619', '11650', '1373', '2133', '4033', '4381', '4981', '5850', '5872', '5937', '6770', '6806', '6904', '7569', '7611', '7670', '8150', '8259', '9224', '9508', 'KC']",9,,4.0,"['6904', '8150', '5850', '2133', '5872', '4033', '7569', '7611', '6770', '8259', 'KC']","[24.92, 23.4, 22.4, 10.9, 22.7, 8.4, 22.7, 42.1, 10.06, 12.0, 5.0]","{'11619': 1.6, '11650': 4.8, '1373': 20.84, '2133': 10.9, '4033': 8.4, '4381': 7.1, '4981': 8.0, '5850': 22.4, '5872': 22.7, '5937': 3.9, '6770': 10.06, '6806': 32.9, '6904': 24.92, '7569': 22.7, '7611': 42.1, '7670': 3.5, '8150': 23.4, '8259': 12.0, '9224': 6.8, '9508': 9.2, 'KC': 5.0}",1134603542842511360,1
166.0,"['10222', '11627', '11632', '11655', '1479', '2028', '4046', '4195', '4866', '5001', '6797', '6945', '7525', '7526', '7588', '7600', '8132', '8228', '9493', '9753', 'BAL']",10,,2.0,"['4046', '4866', '7588', '9493', '11632', '5001', '7526', '7525', '6797', '4195', 'BAL']","[17.14, 53.2, 7.3, 8.7, 11.6, 4.6, 21.7, 15.4, 12.36, 10.0, 4.0]","{'10222': 38.6, '11627': 0.0, '11632': 11.6, '11655': 2.7, '1479': 6.9, '2028': 22.3, '4046': 17.14, '4195': 10.0, '4866': 53.2, '5001': 4.6, '6797': 12.36, '6945': 5.3, '7525': 15.4, '7526': 21.7, '7588': 7.3, '7600': 6.7, '8132': 3.6, '8228': 5.0, '9493': 8.7, '9753': 16.1, 'BAL': 4.0}",1134603542842511360,1
